pc_time,type,seq,d0_cm,d1_cm,d2_cm,d3_cm,status_hex,pc_ms,corrected_cm,raw_cm
2026-05-05 21:06:40.210,RANGE4,10,137,253,155,241,0x0000000F,6304,,
2026-05-05 21:06:40.311,RANGE4,11,139,254,162,243,0x0000000F,6922,,
2026-05-05 21:06:40.346,RANGE4,12,143,258,147,261,0x0000000F,7540,,
2026-05-05 21:06:40.366,RANGE4,13,141,264,158,251,0x0000000F,8158,,
2026-05-05 21:06:40.396,RANGE4,14,141,266,163,256,0x0000000F,8776,,
2026-05-05 21:06:40.431,RANGE4,15,139,262,162,252,0x0000000F,9393,,
2026-05-05 21:06:40.456,RANGE4,16,127,266,156,287,0x0000000F,10011,,
2026-05-05 21:06:40.489,RANGE4,17,137,263,146,276,0x0000000F,10629,,
2026-05-05 21:06:40.513,RANGE4,18,128,266,150,267,0x0000000F,11247,,
2026-05-05 21:06:40.538,RANGE4,19,133,262,165,246,0x0000000F,11865,,
2026-05-05 21:06:40.568,RANGE4,20,132,262,156,247,0x0000000F,12482,,
2026-05-05 21:06:40.593,RANGE4,21,134,265,165,263,0x0000000F,13100,,
2026-05-05 21:06:40.619,RANGE4,22,134,269,168,244,0x0000000F,13718,,
2026-05-05 21:06:40.639,RANGE4,23,142,263,169,262,0x0000000F,14336,,
2026-05-05 21:06:40.669,RANGE4,24,140,272,175,267,0x0000000F,14954,,
2026-05-05 21:06:40.694,RANGE4,25,144,270,168,265,0x0000000F,15572,,
2026-05-05 21:06:40.724,RANGE4,26,144,252,167,267,0x0000000F,16190,,
2026-05-05 21:06:40.760,RANGE4,27,143,251,174,246,0x0000000F,16808,,
2026-05-05 21:06:41.378,RANGE4,28,138,265,189,253,0x0000000F,17425,,
2026-05-05 21:06:41.992,RANGE4,29,136,268,179,249,0x0000000F,18043,,
2026-05-05 21:06:42.612,RANGE4,30,139,265,183,253,0x0000000F,18661,,
2026-05-05 21:06:43.228,RANGE4,31,137,266,184,256,0x0000000F,19279,,
2026-05-05 21:06:43.843,RANGE4,32,137,264,176,247,0x0000000F,19897,,
2026-05-05 21:06:44.458,RANGE4,33,142,263,172,249,0x0000000F,20515,,
2026-05-05 21:06:45.077,RANGE4,34,141,263,176,247,0x0000000F,21133,,
2026-05-05 21:06:45.690,RANGE4,35,128,270,187,252,0x0000000F,21750,,
2026-05-05 21:06:46.307,RANGE4,36,138,297,205,255,0x0000000F,22368,,
2026-05-05 21:06:46.923,RANGE4,37,147,288,181,274,0x0000000F,22986,,
2026-05-05 21:06:47.543,RANGE4,38,123,282,177,265,0x0000000F,23604,,
2026-05-05 21:06:48.155,RANGE4,39,133,260,190,284,0x0000000F,24222,,
2026-05-05 21:06:48.774,RANGE4,40,128,281,242,258,0x0000000F,24840,,
2026-05-05 21:06:49.391,RANGE4,41,133,264,267,250,0x0000000F,25458,,
2026-05-05 21:06:50.005,RANGE4,42,149,262,214,236,0x0000000F,26076,,
2026-05-05 21:06:50.624,RANGE4,43,142,258,204,235,0x0000000F,26693,,
2026-05-05 21:06:51.239,RANGE4,44,152,256,220,243,0x0000000F,27311,,
2026-05-05 21:06:51.858,RANGE4,45,150,256,201,224,0x0000000F,27929,,
2026-05-05 21:06:52.471,RANGE4,46,164,252,249,229,0x0000000F,28547,,
2026-05-05 21:06:53.087,RANGE4,47,169,244,311,225,0x0000000F,29165,,
2026-05-05 21:06:53.703,RANGE4,48,183,252,226,224,0x0000000F,29782,,
2026-05-05 21:06:54.323,RANGE4,49,186,244,296,213,0x0000000F,30400,,
2026-05-05 21:06:54.938,RANGE4,50,211,237,299,193,0x0000000F,31018,,
2026-05-05 21:06:55.551,RANGE4,51,226,222,274,201,0x0000000F,31636,,
2026-05-05 21:06:56.168,RANGE4,52,213,229,281,183,0x0000000F,32254,,
2026-05-05 21:06:56.790,RANGE4,53,229,237,273,178,0x0000000F,32871,,
2026-05-05 21:06:57.401,RANGE4,54,249,285,361,185,0x0000000F,33489,,
2026-05-05 21:06:58.021,RANGE4,55,256,232,346,182,0x0000000F,34107,,
2026-05-05 21:06:58.634,RANGE4,56,265,246,333,190,0x0000000F,34725,,
2026-05-05 21:06:59.252,RANGE4,57,274,225,321,185,0x0000000F,35342,,
2026-05-05 21:06:59.866,RANGE4,58,290,193,365,181,0x0000000F,35960,,
2026-05-05 21:07:00.485,RANGE4,59,304,270,294,193,0x0000000F,36578,,
2026-05-05 21:07:01.102,RANGE4,60,406,245,289,206,0x0000000F,37196,,
2026-05-05 21:07:01.715,RANGE4,61,403,245,301,214,0x0000000F,37814,,
2026-05-05 21:07:02.332,RANGE4,62,447,232,290,236,0x0000000F,38431,,
2026-05-05 21:07:02.952,RANGE4,63,419,202,253,229,0x0000000F,39049,,
2026-05-05 21:07:03.565,RANGE4,64,310,191,232,248,0x0000000F,39667,,
2026-05-05 21:07:04.183,RANGE4,65,305,195,239,364,0x0000000F,40285,,
2026-05-05 21:07:04.801,RANGE4,66,314,180,216,265,0x0000000F,40903,,
2026-05-05 21:07:05.413,RANGE4,67,274,193,195,268,0x0000000F,41521,,
2026-05-05 21:07:06.029,RANGE4,68,252,201,204,280,0x0000000F,42138,,
2026-05-05 21:07:06.650,RANGE4,69,248,207,188,284,0x0000000F,42756,,
2026-05-05 21:07:07.265,RANGE4,70,328,231,177,292,0x0000000F,43374,,
2026-05-05 21:07:07.880,RANGE4,71,240,220,170,295,0x0000000F,43992,,
2026-05-05 21:07:08.496,RANGE4,72,204,243,161,332,0x0000000F,44609,,
2026-05-05 21:07:09.113,RANGE4,73,191,267,164,310,0x0000000F,45227,,
2026-05-05 21:07:09.731,RANGE4,74,181,354,165,294,0x0000000F,45845,,
2026-05-05 21:07:10.347,RANGE4,75,152,276,173,319,0x0000000F,46463,,
2026-05-05 21:07:10.962,RANGE4,76,158,278,175,309,0x0000000F,47081,,
2026-05-05 21:07:11.581,RANGE4,77,132,293,185,321,0x0000000F,47699,,
2026-05-05 21:07:12.196,RANGE4,78,113,285,230,313,0x0000000F,48316,,
2026-05-05 21:07:12.813,RANGE4,79,97,313,225,299,0x0000000F,48934,,
2026-05-05 21:07:13.429,RANGE4,80,90,315,231,277,0x0000000F,49552,,
2026-05-05 21:07:14.047,RANGE4,81,87,316,247,248,0x0000000F,50170,,
2026-05-05 21:07:14.660,RANGE4,82,126,299,255,222,0x0000000F,50788,,
2026-05-05 21:07:15.279,RANGE4,83,148,304,289,198,0x0000000F,51405,,
2026-05-05 21:07:15.893,RANGE4,84,199,286,307,189,0x0000000F,52023,,
2026-05-05 21:07:16.512,RANGE4,85,196,294,303,206,0x0000000F,52641,,
2026-05-05 21:07:17.127,RANGE4,86,240,263,323,180,0x0000000F,53259,,
2026-05-05 21:07:17.743,RANGE4,87,255,244,324,175,0x0000000F,53877,,
2026-05-05 21:07:18.359,RANGE4,88,247,236,326,172,0x0000000F,54495,,
2026-05-05 21:07:18.975,RANGE4,89,254,247,305,175,0x0000000F,55113,,
2026-05-05 21:07:19.591,RANGE4,90,310,236,322,154,0x0000000F,55730,,
2026-05-05 21:07:20.208,RANGE4,91,267,223,313,128,0x0000000F,56348,,
2026-05-05 21:07:20.827,RANGE4,92,280,209,308,108,0x0000000F,56966,,
2026-05-05 21:07:21.444,RANGE4,93,284,236,383,106,0x0000000F,57584,,
2026-05-05 21:07:22.057,RANGE4,94,276,206,342,103,0x0000000F,58202,,
2026-05-05 21:07:22.672,RANGE4,95,266,190,304,102,0x0000000F,58819,,
2026-05-05 21:07:23.290,RANGE4,96,260,201,319,86,0x0000000F,59437,,
2026-05-05 21:07:23.905,RANGE4,97,268,188,306,80,0x0000000F,60055,,
2026-05-05 21:07:24.522,RANGE4,98,281,190,286,79,0x0000000F,60672,,
2026-05-05 21:07:25.141,RANGE4,99,285,178,283,81,0x0000000F,61290,,
2026-05-05 21:07:25.756,RANGE4,100,301,167,282,89,0x0000000F,61908,,
2026-05-05 21:07:26.373,RANGE4,101,279,154,279,109,0x0000000F,62525,,
2026-05-05 21:07:26.988,RANGE4,102,296,144,288,126,0x0000000F,63143,,
2026-05-05 21:07:27.605,RANGE4,103,301,132,279,127,0x0000000F,63761,,
2026-05-05 21:07:28.222,RANGE4,104,303,101,238,161,0x0000000F,64379,,
2026-05-05 21:07:28.837,RANGE4,105,324,74,201,185,0x0000000F,64996,,
2026-05-05 21:07:29.456,RANGE4,106,293,179,192,196,0x0000000F,65614,,
2026-05-05 21:07:30.071,RANGE4,107,336,111,190,223,0x0000000F,66232,,
2026-05-05 21:07:30.685,RANGE4,108,279,105,166,234,0x0000000F,66849,,
2026-05-05 21:07:31.301,RANGE4,109,270,103,142,252,0x0000000F,67467,,
2026-05-05 21:07:31.919,RANGE4,110,294,128,108,269,0x0000000F,68085,,
2026-05-05 21:07:32.535,RANGE4,111,274,160,94,280,0x0000000F,68703,,
2026-05-05 21:07:33.151,RANGE4,112,271,176,72,291,0x0000000F,69320,,
2026-05-05 21:07:33.769,RANGE4,113,237,198,73,293,0x0000000F,69938,,
2026-05-05 21:07:34.384,RANGE4,114,222,212,81,297,0x0000000F,70556,,
2026-05-05 21:07:35.000,RANGE4,115,196,214,79,292,0x0000000F,71173,,
2026-05-05 21:07:35.618,RANGE4,116,177,288,90,297,0x0000000F,71791,,
2026-05-05 21:07:36.236,RANGE4,117,164,333,106,277,0x0000000F,72409,,
2026-05-05 21:07:36.852,RANGE4,118,150,249,116,286,0x0000000F,73027,,
2026-05-05 21:07:37.466,RANGE4,119,133,248,140,242,0x0000000F,73645,,
2026-05-05 21:07:38.085,RANGE4,120,112,247,147,228,0x0000000F,74262,,
2026-05-05 21:07:38.700,RANGE4,121,116,245,151,219,0x0000000F,74880,,
2026-05-05 21:07:39.314,RANGE4,122,147,255,167,193,0x0000000F,75498,,
2026-05-05 21:07:39.931,RANGE4,123,134,232,199,179,0x0000000F,76115,,
2026-05-05 21:07:40.548,RANGE4,124,211,241,229,146,0x0000000F,76733,,
2026-05-05 21:07:41.166,RANGE4,125,183,222,234,142,0x0000000F,77351,,
2026-05-05 21:07:41.782,RANGE4,126,178,214,223,148,0x0000000F,77968,,
2026-05-05 21:07:42.397,RANGE4,127,255,196,229,171,0x0000000F,78586,,
2026-05-05 21:07:43.015,RANGE4,128,259,217,236,155,0x0000000F,79204,,
2026-05-05 21:07:43.633,RANGE4,129,237,218,277,130,0x0000000F,79822,,
2026-05-05 21:07:44.246,RANGE4,130,265,195,286,129,0x0000000F,80439,,
2026-05-05 21:07:44.865,RANGE4,131,288,208,306,133,0x0000000F,81057,,
2026-05-05 21:07:45.476,RANGE4,132,386,237,318,145,0x0000000F,81675,,
2026-05-05 21:07:46.093,RANGE4,133,278,234,320,170,0x0000000F,82292,,
2026-05-05 21:07:46.712,RANGE4,134,239,232,296,153,0x0000000F,82910,,
2026-05-05 21:07:47.330,RANGE4,135,224,244,299,163,0x0000000F,83528,,
2026-05-05 21:07:47.943,RANGE4,136,193,250,252,184,0x0000000F,84145,,
2026-05-05 21:07:48.559,RANGE4,137,161,236,257,225,0x0000000F,84763,,
2026-05-05 21:07:49.179,RANGE4,138,147,265,237,222,0x0000000F,85381,,
2026-05-05 21:07:49.795,RANGE4,139,131,271,209,231,0x0000000F,85999,,
2026-05-05 21:07:50.410,RANGE4,140,123,276,189,244,0x0000000F,86616,,
2026-05-05 21:07:51.029,RANGE4,141,112,269,174,250,0x0000000F,87234,,
2026-05-05 21:07:51.642,RANGE4,142,127,263,159,265,0x0000000F,87852,,
2026-05-05 21:07:52.257,RANGE4,143,126,283,165,295,0x0000000F,88469,,
2026-05-05 21:07:52.877,RANGE4,144,123,287,168,263,0x0000000F,89087,,
2026-05-05 21:07:53.491,RANGE4,145,120,280,159,271,0x0000000F,89705,,
2026-05-05 21:07:54.106,RANGE4,146,120,287,159,253,0x0000000F,90323,,
